hVb hV b Koopveengronden op bosveen (of eutroofbroekveen)
hVs hV s Koopveengronden op veenmosveen
hVc hV c Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen
hVr hV r Koopveengronden op rietveen of zeggerietveen
hVd hV d Koopveengronden op bagger, verslagen veen, gyttja of andere veensoorten
hVk hV k Koopveengronden op (meestal niet-gerijpte) zavel of klei, beginnend ondieper dan 120 cm
hVz hV z Koopveengronden op zand, beginnend ondieper dan 120 cm
hVb V Koopveengronden op bosveen (of eutroofbroekveen)
hEV hEV Aarveengronden
aVs aV s Madeveengronden op veenmosveen
aVc aV c Madeveengronden op zeggeveen, rietzeggeveen of broekveen
aVz aV z Madeveengronden op zand zonder humuspodzol, beginnend ondieper dan 120 cm
aVp aV p Madeveengronden op zand met humuspodzol, beginnend ondieper dan 120 cm
aEVs aEV s Boveengronden op veenmosveen (al dan niet op zand, beginnend ondieper dan 120 cm)
aEVc aEV c Boveengronden op zeggeveen, rietzeggeveen of broekveen (al dan niet op zand, beginnend ondieper dan 120 cm)
Vo Vo Vlietveengronden
pVb pV b Weideveengronden op bosveen (of eutroof broekveen)
pVs pV s Weideveengronden op veenmosveen
pVc pV c Weideveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen
pVr pV r Weideveengronden op rietveen of zeggerietveen
pVd pV d Weideveengronden op bagger, verslagen veen, gyttja of andere veensoorten
pVk pV k Weideveengronden op (meestal niet-gerijpte) zavel of klei, beginnend ondieper dan 120 cm
pVz pV z Weideveengronden op zand, beginnend ondieper dan 120 cm
kVb kV b Waardveengronden op bosveen (of eutroof broekveen)
kVs kV s Waardveengronden op veenmosveen
kVc kV c Waardveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen
kVr kV r Waardveengronden op rietveen of zeggerietveen
kVd kV d Waardveengronden op bagger, verslagen veen, gyttja of andere veensoorten
kVk kV k Waardveengronden op (meestal niet-gerijpte) zavel of klei, beginnend ondieper dan 120 cm
kVz kV z Waardveengronden op zand, beginnend ondieper dan 120 cm
zVs zV s Meerveengronden op veenmosveen
uVs uV s Meerveengronden; mineraal dek 5-8% lutum; veenmosveen
zVc zV c Meerveengronden op zeggeveen. rietzeggeveen of broekveen
uVc uV c Meerveengronden; mineraal dek 5-8% lutum; zeggeveen, rietzeggeveen of broekveen
zVz zV z Meerveengronden op zand zonder humuspodzol, beginnend ondieper dan 120 cm
uVz uV z Meerveengronden; mineraal dek 5-8% lutum; zand zonder humuspodzol, beginnend ondieper dan 120 cm
zVp zV p Meerveengronden op zand met humuspodzol, beginnend ondieper dan 120 cm
uVp uV p Meerveengronden; mineraal dek 5-8% lutum; zand met humuspodzol, beginnend ondieper dan 120 cm
Vb V b Vlierveengronden op bosveen (of eutroof broekveen)
Vs V s Vlierveengronden op veenmosveen
Vc V c Vlierveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen
Vr V r Vlierveengronden op rietveen of zeggerietveen
Vd V d Vlierveengronden op bagger, verslagen veen, gyttja of andere veensoorten
Vk V k Vlierveengronden op (meestal niet-gerijpte) zavel of klei, beginnend ondieper dan 120 cm
Vz V z Vlierveengronden op zand zonder humuspodzol, beginnend ondieper dan 120 cm
Vp V p Vlierveengronden op zand met humuspodzol, beginnend ondieper dan 120 cm
iVs iV s Veengronden met een veenkoloniaal dek op veenmosveen
iVc iV c Veengronden met een veenkoloniaal dek op zeggeveen, rietzeggeveen of moerasbosveen
iVz iV z Veengronden met een veenkoloniaal dek op zand zonder humuspodzol, beginnend ondieper dan 120 cm
iVp iV p Veengronden met een veenkoloniaal dek op zand met humus podzol, beginnend ondieper dan 120 cm
kWp Wp Moerige podzolgronden met een zavel- of een kleidek en een moerige tussenlaag
vWp Wp Moerige podzolgronden met een moerige bovengrond
zWp Wp Moerige podzolgronden met een humushoudend zanddek en een moerige tussenlaag
uWp Wp Moerige podzolgronden met een mineraal dek 5-8% lutum en een moerige tussenlaag
iWp Wp Moerige podzolgronden met een veenkoloniaal dek en een moerige tussenlaag
Wp W Moerige eerdgronden met een zavel- of een kleidek en moerige tussenlaag op niet-gerijpte zavel of klei
Wg W Moerige eerdgronden met een moerige bovengrond of moerige tussenlaag op gerijpte zavel of klei
kWz W Moerige eerdgronden met een zavel- of kleidek en een moerige tussenlaag op zand
zWz W Moerige eerdgronden met een zanddek en een moerige tussenlaag op zand
uWz W Moerige eerdgronden met een mineraal dek 5-8% lutum en een moerige tussenlaag op zand
vWz W Moerige eerdgronden met een moerige bovengrond op zand
iWz W Moerige eerdgronden met een veenkoloniaal dek en een moerige tussenlaag op zand
Y21 Y 21 Holtpodzolgronden; leemarm en zwak lemig fijn zand
Y23 Y 23 Holtpodzolgronden; lemig fijn zand
Y30 Y 30 Holtpodzolgronden; grof zand
Y21b Y 21b Horstpodzolgronden; leemarm en zwak lemig fijn zand
Y23b Y 23b Horstpodzolgronden; lemig fijn zand
cY21 cY 21 Loopodzolgronden; leemarm en zwak lemig fijn zand
cY23 cY 23 Loopodzolgronden; lemig fijn zand
cY30 cY 30 Loopodzolgronden; grof zand
Hn21 Hn 21 Veldpodzolgronden; leemarm en zwak lemig fijn zand
Hn23 Hn 23 Veldpodzolgronden; lemig fijn zand
Hn30 Hn 30 Veldpodzolgronden; grof zand
cHn21 cHn 21 Laarpodzolgronden; leemarm en zwak lemig fijn zand
cHn23 cHn 23 Laarpodzolgronden; lemig fijn zand
cHn30 cHn 30 Laarpodzolgronden; grof zand
Hd21 Hd 21 Haarpodzolgronden; leemarm en zwak lemig fijn zand
Hd23 Hd 23 Haarpodzolgronden; lemig fijn zand
Hd30 Hd 30 Haarpodzolgronden; grof zand
cHd21 cHd 21 Kamppodzolgronden; leemarm en zwak lemig fijn zand
cHd23 cHd 23 Kamppodzolgronden; lemig fijn zand
cHd30 cHd 30 Kamppodzolgronden; grof zand
BLn5 BLn 5 Kuilbrikgronden; zandige leem
BLn6 BLn 6 Kuilbrikgronden; siltige leem
BLh5 BLh 5 Daalbrikgronden; zandige leem
BLh6 BLh 6 Daalbrikgronden; siltige leem
BLd5 BLd 5 Radebrikgronden; zandige leem
BLd6 BLd 6 Radebrikgronden; siltige leem
BLb5 BLb 5 Bergbrikgronden; zandige leem
BLb6 BLb 6 Bergbrikgronden; siltige leem
BKn25 BKn 25 Kuilbrikgronden; fijnzandige lichte zavel
BKn26 BKn 26 Kuilbrikgronden; fijnzandige, siltige, lichte zavel
BKn35 BKn 35 Kuilbrikgronden; grofzandige lichte zavel
BKh25 BKh 25 Daalbrikgronden; fijnzandige lichte zavel
BKh26 BKh 26 Daalbrikgronden; fijnzandige, siltige, lichte zavel
BKh35 BKh 35 Daalbrikgronden; grofzandige lichte zavel
BKd25 BKd 25 Radebrikgronden; fijnzandige lichte zavel
BKd26 BKd 26 Radebrikgronden; fijnzandige, siltige, lichte zavel
BKd35 BKd 35 Radebrikgronden; grofzandige lichte zavel
BZn24 BZn 24 Beemdbrikgronden; zeer sterk lemig fijn zand
BZh24 BZh 24 Delbrikgronden; zeer sterk lemig fijn zand
BZd23 BZd 23 Rooibrikgronden; zwak en sterk lemig fijn zand
BZd24 BZd 24 Rooibrikgronden; zeer sterk lemig fijn zand
EZg21 EZ 21 Lage enkeerdgronden; leemarm en zwak lemig fijn zand
EZg23 EZ 23 Lage enkeerdgronden; lemig fijn zand
EZg30 EZ 30 Lage enkeerdgronden; grof zand
bEZ21 EZ 21 Hoge bruine enkeerdgronden; leemarm en zwak lemig fijn zand
bEZ23 EZ 23 Hoge bruine enkeerdgronden; lemig fijn zand
bEZ30 EZ 30 Hoge bruine enkeerdgronden; grof zand
zEZ21 EZ 21 Hoge zwarte enkeerdgronden; leemarm en zwak lemig fijn zand
zEZ23 EZ 23 Hoge zwarte enkeerdgronden; lemig fijn zand
zEZ30 EZ 30 Hoge zwarte enkeerdgronden; grof zand
EZ50A EZ 50 A Kalkhoudende enkeerdgronden; matig fijn zand
EK16 EK 16 Tuineerdgronden; lichte zavel, profielverloop 3, of 3 en 4, of 4
EK76 EK 76 Tuineerdgronden; zware zavel en klei, profielverloop 3, of 3 en 4, of 4
EK19 EK 19 Tuineerdgronden; lichte zavel, profielverloop 5, of 5 en 2, of 2
EK79 EK 79 Tuineerdgronden; zware zavel en klei, profielverloop 5, of 5 en 2, of 2
EL5 EL 5 Tuineerdgronden; zandige leem
pZg21 pZg 21 Beekeerdgronden; leemarm en zwak lemig fijn zand
pZg23 pZg 23 Beekeerdgronden; lemig fijn zand
pZg30 pZg 30 Beekeerdgronden; grof zand
pZn21 pZn 21 Gooreerdgronden; leemarm en zwak lemig fijn zand
pZn23 pZn 23 Gooreerdgronden; lemig fijn zand
pZn30 pZn 30 Gooreerdgronden; grof zand
tZd21 tZd 21 Kanteerdgronden; leemarm en zwak lemig fijn zand
tZd23 tZd 23 Kanteerdgronden; lemig fijn zand
tZd30 tZd 30 Kanteerdgronden; grof zand
cZd21 cZd 21 Akkereerdgronden; leemarm en zwak lemig fijn zand
cZd23 cZd 23 Akkereerdgronden; lemig fijn zand
cZd30 cZd 30 Akkereerdgronden; grof zand
Zn21 Zn 21 Vlakvaaggronden; leemarm en zwak lemig fijn zand
Zn23 Zn 23 Vlakvaaggronden; lemig fijn zand
Zn30 Zn 30 Vlakvaaggronden; grof zand
