code;info
a;Glauconietklei beginnend tussen 40 en 120 cm
c;Spalterveen ten minste 5 cm dik
d;Dalfase (in dalen Zuid-Limburg)
g;Grof zand en of grind beginnend tussen 40 en 80 cm en ten minste 40 cm dik, of beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm
k;Kalksteen of kleefaarde beginnend tussen 40 en 120 cm
l;Plaatselijk katteklei binnen 80 cm beginnend en tenminste 10 cm dik
m;Oude rivierklei (zavel en klei) beginnend tussen 40 en 120 cm en ten minste 20 cm dik
p;Pleistoceen zand beginnend tussen 40 en 120 cm
r;Meestal niet geheel gerijpte zavel en klei beginnend tussen 40 en 120 cm
s;Vuursteenaluvium geginnend tussen 40 en 120 cm
t;Gerijpte oude klei, anders dan keileem of potklei beginnend tussen 40 en 120 cm en en ten minste 20 cm dik
v;Moerig materiaal beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm
w;Moerig materiaal, 15 a 40 cm dik en beginnend tussen 40 en 80 cm
x;Kelieem of potklei, beginnend tussen 40 en 120 cm en ten minste 20 cm dik
gx;Grof zand en of grind beginnend tussen 40 en 80 cm en ten minste 40 cm dik, of beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm. Keileem of potklei, beginnend tussen 40 en 120 cm en ten minste 20 cm dik.
lv;Plaatselijk katteklei binnen 80 cm beginnend en tenminste 10 cm dik. Moerig materiaal beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm.
lw;Plaatselijk katteklei binnen 80 cm beginnend en tenminste 10 cm dik. Moerig materiaal, 15 a 40 cm dik en beginnend tussen 40 en 80 cm.
lwp;Plaatselijk katteklei binnen 80 cm beginnend en tenminste 10 cm dik. Moerig materiaal, 15 a 40 cm dik en beginnend tussen 40 en 80 cm. Pleistoceen zand beginnend tussen 40 en 120 cm.
px;Pleistoceen zand beginnend tussen 40 en 120 cm. Keileem of potklei, beginnend tussen 40 en 120 cm en ten minste 20 cm dik.
tg;Gerijpte oude klei, anders dan keileem of potklei beginnend tussen 40 en 120 cm en en ten minste 20 cm dik. Grof zand en of grind beginnend tussen 40 en 80 cm en ten minste 40 cm dik, of beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm.
wg;Grof zand en of grind beginnend tussen 40 en 80 cm en ten minste 40 cm dik, of beginnend dieper dan 80 cm en doorgaand tot dieper dan 120 cm
wp;Moerig materiaal, 15 a 40 cm dik en beginnend tussen 40 en 80 cm. Pleistoceen zand beginnend tussen 40 en 120 cm.
wt;Moerig materiaal, 15 a 40 cm dik en beginnend tussen 40 en 80 cm. Gerijpte oude klei, anders dan keileem of potklei beginnend tussen 40 en 120 cm en en ten minste 20 cm dik.
wx;Moerig materiaal, 15 a 40 cm dik en beginnend tussen 40 en 80 cm. Keileem of potklei, beginnend tussen 40 en 120 cm en ten minste 20 cm dik.
